C360Entity,C360Attribute,SilverEntity,SilverAttribute
unknown,sourcesystem,silver_source_to_c360_mapping_additional,sourcesystem
unknown,sourcesystem,silver_source_to_c360_mapping_updated,sourcesystem
unknown,sub_ref,silver_provisioning_service,sub_ref
unknown,sub_type,silver_provisioning_subscriber,sub_type
unknown,svc_type,silver_provisioning_service,svc_type
unknown,totalamount,silver_billingsystem_invoice,totalamount
unknown,type,silver_billingsystem_account,type
unknown,type,silver_billingsystem_dimorder,type
unknown,type,silver_usageplatform_fact_usage,type
unknown,unitprice,silver_billingsystem_dimorderitem,unitprice
unknown,unitprice,silver_salesforce_dimorderitem,unitprice
unknown,updated,silver_billingsystem_dimorder,updated
unknown,warranty,silver_provisioning_device_resource,warranty
